brickname,brickid,coverage_class_exact_indicator
0039m775,7873,required
0039m810,4096,required
0039m847,1403,required
0040m395,120308,required
0040m397,119198,required
0040m400,118092,required
0040m402,116990,required
0040m405,115892,required
0040m442,99919,required
0040m445,98889,required
0040m447,97863,required
0040m450,96841,required
0040m452,95823,required
0040m455,94811,required
0040m492,80170,required
0040m495,79232,required
0040m497,78298,required
0040m500,77368,required
0040m540,63167,required
0040m542,62323,required
0040m545,61483,required
0040m585,48752,required
0040m587,48002,required
0040m622,38061,required
0040m625,37393,required
0040m662,28034,required
0040m665,27456,required
0040m667,26884,required
0040m702,19483,required
0040m705,18999,required
0040m740,12844,required
0040m777,7563,required
0040m812,3872,required
0041m407,114798,required
0041m410,113708,required
0041m412,112622,required
0041m415,111540,required
0041m417,110462,required
0041m420,109388,required
0041m457,93803,required
0041m460,92799,required
0041m465,90805,required
0041m467,89815,required
0041m505,75524,required
0041m507,74610,required
0041m510,73700,required
0041m512,72796,required
0041m547,60649,required
0041m550,59819,required
0041m552,58995,required
0041m555,58175,required
0041m590,47256,required
0041m592,46516,required
0041m595,45782,required
0041m597,45052,required
0041m630,36071,required
0041m632,35419,required
0041m635,34773,required
0041m670,26318,required
0041m672,25758,required
0041m707,18521,required
0041m742,12450,required
0041m745,12062,required
0041m780,7259,required
0041m815,3656,required
0042m422,108318,required
0042m425,107254,required
0042m427,106194,required
0042m430,105138,required
0042m432,104086,required
0042m435,103038,required
0042m472,87849,required
0042m477,85901,required
0042m515,71896,required
0042m517,71002,required
0042m520,70112,required
0042m522,69226,required
0042m525,68346,required
0042m557,57361,required
0042m560,56553,required
0042m562,55749,required
0042m565,54951,required
0042m602,43610,required
0042m605,42898,required
0042m642,32867,required
0042m675,25204,required
0042m677,24654,required
0042m747,11680,required
0042m782,6961,required
0042m817,3446,required
0042m885,116,required
0043m395,120309,required
0043m397,119199,required
0043m400,118093,required
0043m437,101994,required
0043m440,100954,required
0043m442,99920,required
0043m445,98890,required
0043m482,83973,required
0043m485,83015,required
0043m487,82063,required
0043m490,81115,required
0043m492,80171,required
0043m530,66600,required
0043m532,65734,required
0043m535,64874,required
0043m567,54157,required
0043m570,53369,required
0043m575,51809,required
0043m607,42190,required
0043m610,41488,required
0043m612,40792,required
0043m645,32243,required
0043m647,31625,required
0043m680,24110,required
0043m682,23572,required
0043m685,23040,required
0043m750,11304,required
0043m752,10934,required
0043m785,6669,required
0044m402,116991,required
0044m405,115893,required
0044m407,114799,required
0044m410,113709,required
0044m412,112623,required
0044m415,111541,required
0044m450,96842,required
0044m452,95824,required
0044m455,94812,required
0044m495,79233,required
0044m497,78299,required
0044m500,77369,required
0044m502,76445,required
0044m537,64018,required
0044m540,63168,required
0044m542,62324,required
0044m577,51037,required
0044m582,49509,required
0044m615,40102,required
0044m617,39416,required
0044m650,31013,required
0044m652,30407,required
